"r=1,s=1","r=1,s=4","r=1,s=10","r=1,s=15","r=2,s=1","r=2,s=4","r=2,s=10","r=2,s=15","r=4,s=1","r=4,s=4","r=4,s=10","r=4,s=15"
0.26562729477882385,0,0,0,0,0,0,0,0,0,0,0
0.4412413537502289,0,0,0,0,0,0,0,0,0,0,0
0.5412560701370239,0,0,0,0,0,0,0,0,0,0,0
0.5936167240142822,0,0,0,0,0,0,0,0,0,0,0
0.6255331635475159,0,0,0,0,0,0,0,0,0,0,0
0.6620091199874878,0,0,0,0,0,0,0,0,0,0,0
0.6723047494888306,0,0,0,0,0,0,0,0,0,0,0
0.7151051759719849,0,0,0,0,0,0,0,0,0,0,0
0.7214296460151672,0,0,0,0,0,0,0,0,0,0,0
0.7189292311668396,0,0,0,0,0,0,0,0,0,0,0
0.7361376881599426,0,0,0,0,0,0,0,0,0,0,0
0.7643771171569824,0,0,0,0,0,0,0,0,0,0,0
0.7580526471138,0,0,0,0,0,0,0,0,0,0,0
0.7715840339660645,0,0,0,0,0,0,0,0,0,0,0
0.7702603340148926,0,0,0,0,0,0,0,0,0,0,0
0.7859979271888733,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0.07780555635690689,0,0,0,0,0,0,0,0,0,0,0
